OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS,SRNS_ALL,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME,Year,Month,Hour,ALCOHOL_RELATED
3473802,T20190000851,ABS to receive accident,Finished,15/1/2019,15.10.00,No,Collision with vehicle,Tuesday,LANE CHANGE LEFT (NOT OVERTAKING),No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,No,341431,145.13617,-37.83117,Non-Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,2511987.358,2407754.874,2,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,MELB_URBAN,MELB_URBAN,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Undivided,Undiv,Metro,2019,1,15,0
3473803,T20190000852,ABS to receive accident,Finished,15/1/2019,14.20.00,No,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,63810,145.00876,-37.76425,Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2500772.252,2415189.941,3,2,0,0,2,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,DAREBIN,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro,2019,1,14,0
3473804,T20190000858,ABS to receive accident,Finished,15/1/2019,13.30.00,No,Collision with vehicle,Tuesday,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Serious injury accident,60 km/hr,No,342027,145.13576,-37.74085,Non-Intersection,BANYULE,METROPOLITAN NORTH WEST REGION,2511965.042,2417779.137,7,2,0,2,0,5,3,2,0,0,2,0,0,0,5,0,0,0,0,0,No,0,2,0,1,0,1,MELB_URBAN,MELB_URBAN,"NILLUMBIK,BANYULE",METROPOLITAN NORTH WEST REGION,,,Arterial Other,Arterial Other,Divided,Div,Metro,2019,1,13,0
3473805,T20190000861,ABS to receive accident,Finished,15/1/2019,14.10.00,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,351,144.83304,-37.77946,Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2485292.863,2413489.43,4,2,0,0,2,2,1,3,0,2,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro,2019,1,14,0
3473806,T20190000862,ABS to receive accident,Finished,15/1/2019,18.50.00,Yes,Collision with vehicle,Monday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,74274,144.97719,-37.84139,Intersection,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,2497992.73,2406628.223,2,1,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro,2019,1,18,0
3473807,T20190000863,ABS to receive accident,Finished,15/1/2019,18.23.00,Yes,Struck Pedestrian,Tuesday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,40 km/hr,No,341507,144.9938,-37.84893,Non-Intersection,STONNINGTON,METROPOLITAN SOUTH EAST REGION,2499454.679,2405791.386,2,1,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,STONNINGTON,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro,2019,1,18,0
3473808,T20190000864,ABS to receive accident,Finished,15/1/2019,18.30.00,Yes,Collision with vehicle,Tuesday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,12521,144.82144,-37.76146,Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2484266.725,2415484.856,3,3,0,0,3,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,M,M,Freeway,"Freeway,Arterial Other",Divided,"Div,Undiv",Metro,2019,1,18,0
3473809,T20190000865,ABS to receive accident,Finished,15/1/2019,17.18.00,No,Collision with a fixed object,Tuesday,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175,No,Day,Yes,Not at intersection,Other injury accident,100 km/hr,No,341836,144.43742,-37.33613,Non-Intersection,MACEDON RANGES,NORTHERN REGION,2450152.535,2462554.422,3,2,0,0,2,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MACEDON RANGES,NORTHERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country,2019,1,17,0
3473810,T20190000867,ABS to receive accident,Finished,15/1/2019,10.15.00,No,Collision with vehicle,Tuesday,U TURN,No,Day,No,Not at intersection,Other injury accident,Not known,No,341434,141.78827,-37.6187,Non-Intersection,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,2216532.12,2426561.769,5,1,0,0,1,4,1,4,0,3,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country,2019,1,10,0
3473837,T20190000359,ABS to receive accident,Finished,7/1/2019,13.15.00,No,Collision with vehicle,Monday,RIGHT FAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,47826,145.26507,-37.80998,Intersection,MAROONDAH,METROPOLITAN SOUTH EAST REGION,2523340.041,2410082.122,3,1,0,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,MAROONDAH,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro,2019,1,13,0
3473838,T20190000361,ABS to receive accident,Finished,7/1/2019,13.33.00,No,Collision with vehicle,Monday,RIGHT THROUGH,No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,293459,145.17291,-38.22338,Intersection,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,2515142.066,2364214.672,2,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,MORNINGTON PENINSULA,METROPOLITAN SOUTH EAST REGION,,,,,,,Metro,2019,1,13,0
3473839,T20190000365,ABS to receive accident,Finished,7/1/2019,13.00.00,No,Collision with vehicle,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,59524,144.30487,-36.73146,Intersection,BENDIGO,NORTHERN REGION,2437917.412,2529570.449,4,2,0,0,2,2,2,2,0,1,3,0,0,0,0,0,0,0,0,0,No,0,3,1,2,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,BENDIGO,NORTHERN REGION,A,"A,C",Arterial Highway,"Arterial Highway,Local Road,Arterial Other",Undivided,Undiv,Country,2019,1,13,0
3473840,T20190000366,ABS to receive accident,Finished,7/1/2019,14.35.00,No,Collision with vehicle,Monday,RIGHT THROUGH,No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,44396,145.47379,-38.07838,Intersection,CARDINIA,METROPOLITAN SOUTH EAST REGION,2541570.325,2380220.249,5,2,0,0,2,3,2,3,0,3,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,SMALL_CITIES,SMALL_CITIES,CARDINIA,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro,2019,1,14,0
3473841,T20190000367,ABS to receive accident,Finished,7/1/2019,08.42.00,No,Collision with a fixed object,Monday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Serious injury accident,100 km/hr,Yes,342641,142.77907,-35.99867,Non-Intersection,BULOKE,NORTHERN REGION,2299767.393,2608769.261,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,BULOKE,NORTHERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country,2019,1,08,0
3473842,T20190000368,ABS to receive accident,Finished,6/1/2019,16.00.00,Yes,Collision with a fixed object,Sunday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,No,Not at intersection,Serious injury accident,100 km/hr,Yes,341015,145.29647,-37.39106,Non-Intersection,MURRINDINDI,NORTH EASTERN REGION,2526250.162,2456564.876,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,RURAL_VICTORIA,RURAL_VICTORIA,"MURRINDINDI,MURRINDINDI",NORTH EASTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country,2019,1,16,0
3473843,T20190000369,ABS to receive accident,Finished,7/1/2019,13.00.00,No,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Other injury accident,40 km/hr,No,340992,144.93284,-37.66649,Non-Intersection,HUME,METROPOLITAN NORTH WEST REGION,2494075.011,2426037.635,5,2,0,0,2,3,2,3,0,2,3,0,0,0,0,0,0,0,0,1,No,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,HUME,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro,2019,1,13,0
3473846,T20190000376,ABS to receive accident,Finished,2/1/2019,18.00.00,Yes,Collision with vehicle,Tuesday,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Other injury accident,60 km/hr,No,341144,144.34682,-37.55162,Non-Intersection,MOORABOOL,WESTERN REGION,2442289.006,2438590.47,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MOORABOOL,WESTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country,2019,1,18,0
3473847,T20190000377,ABS to receive accident,Finished,7/1/2019,17.20.00,Yes,Collision with vehicle,Sunday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Other injury accident,50 km/hr,No,248053,144.77751,-37.71659,Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2480384.611,2420456.688,2,1,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro,2019,1,17,0
3473848,T20190000379,ABS to receive accident,Finished,7/1/2019,17.25.00,No,Vehicle overturned (no collision),Monday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),No,Day,Yes,Not at intersection,Serious injury accident,80 km/hr,No,341875,145.3134,-37.81903,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,2527592.743,2409064.917,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,MELB_URBAN,MELB_URBAN,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Divided,Div,Metro,2019,1,17,0
3473850,T20190000383,ABS to receive accident,Finished,7/1/2019,18.49.00,Yes,Collision with vehicle,Sunday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,T intersection,Other injury accident,60 km/hr,No,48905,144.92436,-37.62258,Intersection,HUME,METROPOLITAN NORTH WEST REGION,2493322.838,2430910.204,4,1,0,0,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,No,0,3,0,3,0,0,MELB_URBAN,MELB_URBAN,HUME,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro,2019,1,18,0
3473851,T20190000869,ABS to receive accident,Finished,15/1/2019,19.25.00,Yes,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Other injury accident,60 km/hr,No,42801,145.07414,-37.96766,Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,2506514.666,2392611.107,3,1,0,0,1,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,"Arterial Highway,Arterial Other",Divided,"Div,Undiv",Metro,2019,1,19,0
3473852,T20190000870,ABS to receive accident,Finished,15/1/2019,19.50.00,Yes,Collision with vehicle,Tuesday,RIGHT TURN SIDESWIPE,No,Day,Yes,Cross intersection,Serious injury accident,60 km/hr,No,341341,144.94797,-37.82524,Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2495419.489,2408420.458,2,1,0,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Arterial Highway,"Arterial Highway,Arterial Other",Divided,Div,Metro,2019,1,19,0
3473853,T20190000881,ABS to receive accident,Finished,16/1/2019,07.45.00,No,Collision with vehicle,Wednesday,RIGHT THROUGH,No,Day,Yes,Cross intersection,Serious injury accident,50 km/hr,No,15470,144.31797,-38.33787,Intersection,SURF COAST,SOUTH WESTERN REGION,2440365.015,2351304.769,2,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,SMALL_CITIES,SMALL_CITIES,SURF COAST,SOUTH WESTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country,2019,1,07,0
3473854,T20190000882,ABS to receive accident,Finished,16/1/2019,07.55.00,No,Collision with vehicle,Tuesday,LANE CHANGE LEFT (NOT OVERTAKING),No,Day,No,Not at intersection,Other injury accident,60 km/hr,No,72063,144.36367,-38.15042,Intersection,GEELONG,SOUTH WESTERN REGION,2444221.635,2372140.802,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG,SOUTH WESTERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Country,2019,1,07,0
